dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA00001,GSE224398,GPL21103,1000,Alzheimer's Disease,C0002395,Hippocampus,GEO,scRNA-Seq,Mus musculus,1|1,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00002,GSE224398,GPL21103,1000,Alzheimer's Disease,C0002395,Hippocampus,GEO,scRNA-Seq,Mus musculus,1|1,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00003,GSE224398,GPL21103,1000,Alzheimer's Disease,C0002395,Hippocampus,GEO,scRNA-Seq,Mus musculus,1|1,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00004,GSE224022,GPL16791,1000,Retinoblastoma,C0035335,Retina,GEO,RNA-Seq,Homo sapiens,4|5,DO:A retinal cell cancer and malignant neoplasm of retina and neuroblastoma and neuroendocrine tumors that derives_from the tissues of the retina.
DSA00005,GSE126342,GPL11154,1000,Congenital Myotonic Dystrophy,C0410226,Skeletal muscle,GEO,RNA-Seq,Homo sapiens,9|11,"MONDO:An inherited progressive disorder affecting the muscles. It is characterized by muscle wasting and hypotonia, cataracts, heart conduction defects and endocrinopathies."
DSA00006,GSE126342,GPL11154,1000,Myotonic Dystrophy Type 1,C0027126,Skeletal muscle,GEO,RNA-Seq,Homo sapiens,6|16,"DO:A myotonic disease that is characterized by progressive muscle wasting and weakness affecting the distal skeletal and smooth muscles of lower legs, hands, neck, and face along with myotonia and cataracts and has_material_basis_in the autosomal dominant inheritance of the DMPK gene containing an expansion of a CTG trinucleotide repeat in the non-coding region."
DSA00007,GSE224253,GPL17692,0,Allergic Disorder of Respiratory System,C1504369,,GEO,Microarray,Homo sapiens,7|9,
DSA00008,GSE224253,GPL17692,1000,Allergic Disorder of Respiratory System,C1504369,,GEO,Microarray,Homo sapiens,7|7,
DSA00009,GSE223245,GPL33038,0,Brain Damage,C0006109,Whole blood,GEO,Microarray,Homo sapiens,4|4,MONDO:Chronic form of encephalitis.
DSA00010,GSE223245,GPL33038,0,Brain Damage,C0006109,Whole blood,GEO,Microarray,Homo sapiens,4|4,MONDO:Chronic form of encephalitis.
DSA00011,GSE223245,GPL33038,171,Brain Damage,C0006109,Whole blood,GEO,Microarray,Homo sapiens,4|4,MONDO:Chronic form of encephalitis.
DSA00012,GSE220612,GPL17021,1000,Myocardial Ischemia,C0151744,Heart,GEO,RNA-Seq,Mus musculus,4|4,DO:An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.
DSA00013,GSE220612,GPL17021,1000,Myocardial Ischemia,C0151744,Heart,GEO,RNA-Seq,Mus musculus,4|3,DO:An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.
DSA00014,GSE220612,GPL17021,1000,Myocardial Ischemia,C0151744,Heart,GEO,RNA-Seq,Mus musculus,4|4,DO:An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.
DSA00015,GSE224056,GPL24676,1000,Gastric Cancer,C0699791,Stomach,GEO,RNA-Seq,Homo sapiens,4|5,DO:A gastrointestinal system cancer that is located_in the stomach.
DSA00016,GSE224056,GPL24676,112,Gastric Cancer,C0699791,Stomach,GEO,RNA-Seq,Homo sapiens,5|5,DO:A gastrointestinal system cancer that is located_in the stomach.
DSA00017,GSE223964,GPL20301,1000,Diabetes,C0011847,Skin,GEO,scRNA-Seq,Homo sapiens,3|5,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00018,GSE223885,GPL24106,1000,COVID-19,D8888888,Venous blood,GEO,RNA-Seq,Homo sapiens,10|10,"A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
DSA00019,GSE6344,GPL97,1000,Clear Cell Ependymoma,C1384403,Kidney,GEO,Microarray,Homo sapiens,5|5,"EFO:A WHO grade II, slow growing tumor of children and young adults, usually located intraventricularly. It is the most common ependymal neoplasm. It often causes clinical symptoms by blocking cerebrospinal fluid pathways. Key histological features include perivascular pseudorosettes and ependymal rosettes. (WHO)"
DSA00020,GSE223561,GPL24247,1000,Acute Liver Failure;Post Operative Delirium,,Liver,GEO,scRNA-Seq,Mus musculus,3|2,
DSA00021,GSE223561,GPL24247,1000,Acute Liver Failure;Post Operative Delirium,,Liver,GEO,scRNA-Seq,Mus musculus,3|2,
DSA00022,GSE223561,GPL24247,1000,Acute Liver Failure;Post Operative Delirium,,Liver,GEO,scRNA-Seq,Mus musculus,3|4,
DSA00023,GSE223561,GPL24676,1000,Acute Liver Failure,C0162557,Liver,GEO,scRNA-Seq,Homo sapiens,3|3,"HPO:Hepatic failure refers to the inability of the liver to perform its normal synthetic and metabolic functions, which can result in coagulopathy and alteration in the mental status of a previously healthy individual. Hepatic failure is defined as fulminant if there is onset of encephalopathy within 4 weeks of the onset of symptoms in a patient with a previously healthy liver."
DSA00024,GSE221789,GPL24247,1000,Aortic Aneurysm,C0003486,Abdominal aorta,GEO,scRNA-Seq,Mus musculus,2|2,DO:An aortic disease that is characterized by an enlargement (dilation) of the aorta to greater than 1.5 times normal size.
DSA00025,GSE221606,GPL13112,410,Angioimmunoblastic T-Cell Lymphoma,C0023493,Spleen;lymph node,GEO,RNA-Seq,Mus musculus,4|4,"DO:A T-cell acute leukemia that results_in abnormal increase of lymphocytes, derives_from T-cells, has_material_basis_in Human T-lymphotropic virus 1 (HTLV-1), which is transmitted_by sexual contact, transmitted_by contaminated needles used by intravenous-drug users, and transmitted_by breast feeding. The infection results_in_formation_of skin lesions."
DSA00026,GSE221606,GPL13112,729,Angioimmunoblastic T-Cell Lymphoma,C0023493,Lymph node,GEO,RNA-Seq,Mus musculus,4|4,"DO:A T-cell acute leukemia that results_in abnormal increase of lymphocytes, derives_from T-cells, has_material_basis_in Human T-lymphotropic virus 1 (HTLV-1), which is transmitted_by sexual contact, transmitted_by contaminated needles used by intravenous-drug users, and transmitted_by breast feeding. The infection results_in_formation_of skin lesions."
DSA00027,GSE221598,GPL24247,1000,Chronic Kidney Disease,C1561643,Kidney,GEO,RNA-Seq,Mus musculus,3|3,DO:A kidney failure that is characterized by the gradual loss of kidney function.
DSA00028,GSE217153,GPL17021,1000,Diabetic Kidney Disease,C0011881,Kidney,GEO,RNA-Seq,Mus musculus,3|4,"EFO:Progressive kidney disorder caused by vascular damage to the glomerular capillaries, in patients with diabetes mellitus. It is usually manifested with nephritic syndrome and glomerulosclerosis."
DSA00029,GSE217153,GPL17021,1000,Diabetic Kidney Disease,C0011881,Kidney,GEO,RNA-Seq,Mus musculus,3|4,"EFO:Progressive kidney disorder caused by vascular damage to the glomerular capillaries, in patients with diabetes mellitus. It is usually manifested with nephritic syndrome and glomerulosclerosis."
DSA00030,GSE215424,GPL24676,1000,Amyotrophic Lateral Sclerosis,C0002736,Muscle,GEO,RNA-Seq,Homo sapiens,5|5,"DO:A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
DSA00031,GSE6344,GPL97,999,Clear Cell Ependymoma,C1384403,Kidney,GEO,Microarray,Homo sapiens,5|5,"EFO:A WHO grade II, slow growing tumor of children and young adults, usually located intraventricularly. It is the most common ependymal neoplasm. It often causes clinical symptoms by blocking cerebrospinal fluid pathways. Key histological features include perivascular pseudorosettes and ependymal rosettes. (WHO)"
DSA00032,GSE199899,GPL17021,1000,Liver Cancer,C2239176,Liver,GEO,RNA-Seq,Mus musculus,3|4,DO:A hepatobiliary system cancer that is located_in the liver.
DSA00033,GSE199899,GPL17021,1000,Liver Cancer,C2239176,Liver,GEO,RNA-Seq,Mus musculus,4|6,DO:A hepatobiliary system cancer that is located_in the liver.
DSA00034,GSE196481,GPL23038,1000,Acute Pancreatitis,C0001339,,GEO,Microarray,Mus musculus,4|4,"DO:A pancreatitis that is characterized by inflammation of the pancreas over a short period of time and has symptoms of severe abdominal pain, nausea, vomiting, diarrhea, fever, and shock."
