"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00025","Angioimmunoblastic T-Cell Lymphoma","Spleen;lymph node","GEO","RNA-Seq","Mus musculus","410"
"DSA00026","Angioimmunoblastic T-Cell Lymphoma","Lymph node","GEO","RNA-Seq","Mus musculus","729"
"DSA00044","Multiple Myeloma","HSPC","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00059","Type 1 Diabetes","Blood","GEO","Microarray","Homo sapiens","236"
"DSA00061","Type 1 Diabetes","Blood","GEO","Microarray","Homo sapiens","121"
"DSA00073","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","2"
"DSA00074","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","1"
"DSA00110","Eosinophilic Esophagitis","Esophagus","GEO","RNA-Seq","Mus musculus","1000"
"DSA00126","Sezary Syndrome","Blood","GEO","Microarray","Homo sapiens","87"
"DSA00127","Sezary Syndrome","Blood","GEO","Microarray","Homo sapiens","571"
"DSA00128","Sezary Syndrome","Blood","GEO","Microarray","Homo sapiens","52"
"DSA00135","Systemic Lupus Erythematosus","CD14+ monocyte","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00162","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00171","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","0"
"DSA00172","Thyroid Associated Opthalmopathies","Adipose tissue","GEO","RNA-Seq","Homo sapiens","980"
"DSA00173","Juvenile Idiopathic Arthritis","Synovial fluid","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00174","Juvenile Idiopathic Arthritis","Synovial fluid","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00175","Systemic Lupus Erythematosus","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00176","Systemic Lupus Erythematosus","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00233","Multiple Sclerosis","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00234","Systemic Lupus Erythematosus","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00235","Systemic-Onset Juvenile Idiopathic Arthritis","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00241","Rheumatoid Arthritis","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00242","Rheumatoid Arthritis","Blood","GEO","Microarray","Homo sapiens","6"
"DSA00244","Multiple Sclerosis","Optic chiasm","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00247","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00248","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00249","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00250","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00254","T-Cell Prolymphocytic Leukemia","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00266","B-Cell Acute Lymphoblastic Leukemia","Mesenchymal stromal cells (MSCs)","GEO","Microarray","Homo sapiens","88"
"DSA00267","B-Cell Acute Lymphoblastic Leukemia","Mesenchymal stromal cells (MSCs)","GEO","Microarray","Homo sapiens","0"
"DSA00268","B-Cell Acute Lymphoblastic Leukemia","Mesenchymal stromal cells (MSCs)","GEO","Microarray","Homo sapiens","0"
"DSA00280","T-Cell Acute Lymphoblastic Leukemia","Spleen","GEO","RNA-Seq","Mus musculus","1000"
"DSA00320","Primary Antiphospholipid Syndrome","Neutrophil","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00325","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00326","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00327","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","0"
"DSA00339","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","57"
"DSA00345","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","0"
