"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00030","Amyotrophic Lateral Sclerosis","Muscle","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00036","Classic Galactosemia","Ovary","GEO","RNA-Seq","Mus musculus","969"
"DSA00059","Type 1 Diabetes","Blood","GEO","Microarray","Homo sapiens","236"
"DSA00060","Type 2 Diabetes","Blood","GEO","Microarray","Homo sapiens","348"
"DSA00061","Type 1 Diabetes","Blood","GEO","Microarray","Homo sapiens","121"
"DSA00062","Type 2 Diabetes","Blood","GEO","Microarray","Homo sapiens","143"
"DSA00075","Type 2 Diabetes","Adductor muscle","GEO","RNA-Seq","Mus musculus","151"
"DSA00076","Type 2 Diabetes","Adductor muscle","GEO","RNA-Seq","Mus musculus","115"
"DSA00077","Type 2 Diabetes","Adductor muscle","GEO","RNA-Seq","Mus musculus","75"
"DSA00078","Type 2 Diabetes","Adductor muscle","GEO","RNA-Seq","Mus musculus","5"
"DSA00079","Type 2 Diabetes","Gastrocnemius muscle","GEO","RNA-Seq","Mus musculus","67"
"DSA00080","Type 2 Diabetes","Gastrocnemius muscle","GEO","RNA-Seq","Mus musculus","16"
"DSA00081","Type 2 Diabetes","Gastrocnemius muscle","GEO","RNA-Seq","Mus musculus","108"
"DSA00082","Type 2 Diabetes","Gastrocnemius muscle","GEO","RNA-Seq","Mus musculus","1"
"DSA00089","Type 2 Diabetes","Adductor muscle","GEO","RNA-Seq","Mus musculus","20"
"DSA00090","Type 2 Diabetes","Gastrocnemius muscle","GEO","RNA-Seq","Mus musculus","6"
"DSA00119","Obesity","Pancreatic islet","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00144","Type 2 Diabetes","Kidney cortex","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00150","Xfe Progeroid Syndrome","Primary cutaneous fibroblasts","GEO","RNA-Seq","Homo sapiens","164"
"DSA00199","Obesity","Spleen","GEO","RNA-Seq","Mus musculus","1000"
"DSA00207","Type 2 Diabetes","Pancreatic beta cells","GEO","RNA-Seq","Mus musculus","1000"
"DSA00246","Osteoporosis","Osteoclast precursors","GEO","Microarray","Homo sapiens","0"
"DSA00291","Prediabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00292","Prediabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00293","Prediabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00294","Prediabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00341","Whipple's Disease","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","11"
"DSA00348","Coeliac Disease","Small intestine","GEO","Microarray","Homo sapiens","0"
"DSA00349","Coeliac Disease","Small intestine","GEO","Microarray","Homo sapiens","15"
"DSA00372","Gestational Diabetes Mellitus","Placental endothelial cells","GEO","Microarray","Homo sapiens","1000"
"DSA00373","Gestational Diabetes Mellitus","Placental endothelial cells","GEO","Microarray","Homo sapiens","81"
"DSA00382","Obesity","Liver","GEO","Microarray","Mus musculus","0"
"DSA00383","Obesity","Liver","GEO","Microarray","Mus musculus","0"
"DSA00395","Friedreich Ataxia","Primary skin fibroblast cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00432","Type 2 Diabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA00435","Type 1 Diabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00443","Type 1 Diabetes","Pancreatic islet","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00452","Type 2 Diabetes","Cardiac mesenchymal cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00457","Amyotrophic Lateral Sclerosis","Spinal motor neurons","GEO","Microarray","Homo sapiens","7"
"DSA00458","Amyotrophic Lateral Sclerosis","Spinal motor neurons","GEO","Microarray","Homo sapiens","0"
