"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00007","Allergic Disorder of Respiratory System","CD3+ cells","GEO","Microarray","Homo sapiens","0"
"DSA00008","Allergic Disorder of Respiratory System","CD3+ cells","GEO","Microarray","Homo sapiens","1000"
"DSA00043","Lung Cancer","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00073","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","2"
"DSA00074","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","1"
"DSA00227","Chronic Obstructive Pulmonary Disease","Blood","GEO","Microarray","Homo sapiens","50"
"DSA00232","Influenza","Blood","GEO","Microarray","Homo sapiens","924"
"DSA00243","Chronic Obstructive Pulmonary Disease","Quadriceps","GEO","Microarray","Homo sapiens","1000"
"DSA00247","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00248","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00249","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00250","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00263","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00264","Non-Specific Interstitial Pneumonia","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00281","Influenza","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00282","Rhinitis","Bronchus","GEO","RNA-Seq","Homo sapiens","1"
"DSA00283","Rhinitis","Nasal","GEO","RNA-Seq","Homo sapiens","13"
"DSA00295","Cystic Fibrosis","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","128"
"DSA00301","Pulmonary Infection","Lung","GEO","Microarray","Mus musculus","0"
"DSA00378","Lung Tumor","Lung","GEO","Microarray","Homo sapiens","0"
"DSA00379","Rhinosinusitis","Nasal polyp","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00380","Rhinosinusitis","Nasal polyp","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00454","Eosinophilic Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","41"
"DSA00455","Eosinophilic Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","21"
"DSA00459","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","492"
"DSA00460","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00487","Chronic Obstructive Pulmonary Disease","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00510","Pulmonary Tuberculosis","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00512","Cystic Fibrosis","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00520","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","245"
"DSA00521","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","573"
"DSA00522","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","372"
"DSA00523","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","39"
"DSA00524","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","0"
"DSA00525","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","12"
"DSA00539","Asthma","Lung","GEO","Microarray","Mus musculus","0"
"DSA00540","Asthma","Lung","GEO","Microarray","Mus musculus","1000"
"DSA00541","Asthma","Lung","GEO","Microarray","Mus musculus","1000"
"DSA00554","Bronchopulmonary Dysplasia","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA00572","Acute Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","339"
"DSA00596","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","798"
"DSA00597","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","783"
"DSA00606","Acute Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","373"
"DSA00608","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00609","Non-Specific Interstitial Pneumonia","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00627","Asthma","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00628","Asthma","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00635","Acute Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","35"
"DSA00637","Acute Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","1000"
"DSA00652","Cystic Fibrosis","Pancreas","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00697","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA00698","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA00699","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA00700","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1"
"DSA00703","Lung Cancer","Blood","GEO","RNA-Seq","Homo sapiens","98"
"DSA00717","Asthma","Macrophages","GEO","Microarray","Homo sapiens","0"
"DSA00718","Chronic Obstructive Pulmonary Disease","Macrophages","GEO","Microarray","Homo sapiens","0"
"DSA00725","Lung Squamous Cell Carcinoma","Bronchial epithelial cells","GEO","Microarray","Mus musculus","1000"
"DSA00726","Lung Squamous Cell Carcinoma","Bronchial epithelial cells","GEO","Microarray","Mus musculus","1000"
"DSA00733","Chronic Obstructive Pulmonary Disease","Blood","GEO","Microarray","Homo sapiens","1000"
