,geo_accession,Prediction_Result,Actual_in_Top_3,Actual,Top_Predictions,Disease_Name
0,GSM2093238,Correct,Yes,CONTROL - BLOOD,"[(99.94, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS
1,GSM2093239,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS
2,GSM2093241,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",TUBERCULOSIS
3,GSM2093245,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS
4,GSM2093249,Correct,Yes,CONTROL - BLOOD,"[(99.95, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS
5,GSM2093250,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS
6,GSM2097621,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.99, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
7,GSM2109388,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",JUVENILE IDIOPATHIC ARTHRITIS
8,GSM2109391,Correct,Yes,CONTROL - BLOOD,"[(99.94, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",JUVENILE IDIOPATHIC ARTHRITIS
9,GSM2109457,Correct,Yes,CONTROL - BLOOD,"[(99.92, 'CONTROL - BLOOD'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",JUVENILE IDIOPATHIC ARTHRITIS
